id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz
1,0,-1,b,f,e-,0.00054860000,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,100.0000,null,null,null,null,null,null,null
2,1,0,f,f,n*,1.00866500000,0.00000000000,0.00000000000,UPN,-4.6070,null,0.0000,100.0000,null,null,1/2+,-1.9130427000,null,null,null
3,1,1,f,b,H,1.00782503223,0.00000000000,0.00000000000,SPN,50.0000,null,0.0000,99.9850,1399.79,705700,1/2+,2.7928473510,null,5700.0000,400.000
4,2,1,b,f,D,2.01410177812,2.22411410138,1.11205705069,SPN,50.0000,null,0.0000,0.0150,0.21,23,1+,0.8574382310,0.0028600000,0.0082,61.403
5,3,1,f,b,T,3.01604927790,8.48111605334,2.82703868445,SYN,1.0906,b-,0.0186,0.0000,0,null,1/2+,2.9789624600,null,6897.0000,426.656
6,3,2,f,f,He,3.01602932010,7.71737322095,2.57245774032,SPN,50.0000,null,0.0000,0.0001,null,35,1/2+,-2.1276253100,null,null,null
7,4,2,b,b,He,4.00260325413,28.29476455561,7.07369113890,SPN,50.0000,null,0.0000,99.9999,null,275200,null,null,null,null,null
8,6,3,b,f,Li,6.01512288740,31.99263761964,5.33210626994,SPN,50.0000,null,0.0000,7.4200,1.484,null,1+,0.8220430000,-0.0008060000,3.5800,58.864
9,7,3,f,b,Li,7.01600343660,39.24349799105,5.60621399872,SPN,50.0000,null,0.0000,92.5800,18.516,null,3/2-,3.2564070000,-0.0400000000,1540.0000,155.455
10,9,4,f,f,Be,9.01218306500,58.16199300180,6.46244366687,SPN,50.0000,null,0.0000,100.0000,2.8,null,3/2-,-1.1774300000,0.0529000000,78.8000,56.207
11,10,5,b,f,B,10.01293695000,64.74850694777,6.47485069478,SPN,50.0000,null,0.0000,19.6000,1.96,null,3+,1.8004636000,0.0845000000,22.0000,42.975
12,11,5,f,b,B,11.00930536000,76.20239941621,6.92749085602,SPN,50.0000,null,0.0000,80.4000,8.04,null,3/2-,2.6883780000,0.0405900000,754.0000,128.286
13,12,6,b,b,C,12.00000000000,92.15904307956,7.67992025663,SPN,50.0000,null,0.0000,98.8900,197.78,3032,null,null,null,null,null
14,13,6,f,f,C,13.00335483507,97.10512018346,7.46962462950,SPN,50.0000,null,0.0000,1.1100,2.22,37,1/2-,0.7023690000,null,1.0000,100.589
15,14,6,b,b,C,14.00324198840,105.28132317876,7.52009451277,UPN,3.7581,b-,0.1565,0.0000,0,null,3-,0.8200000000,null,null,null
16,14,7,b,f,N,14.00307400443,104.65546588494,7.47539042035,SPN,50.0000,null,0.0000,99.6300,18.9297,1105,1+,0.4035730000,0.0204400000,null,null
17,15,7,f,b,N,15.00010889888,115.48853186480,7.69923545765,SPN,50.0000,null,0.0000,0.3700,0.0703,null,1/2-,-0.2830569000,null,0.0220,40.547
18,16,8,b,b,O,15.99491461957,127.61572716061,7.97598294754,SPN,50.0000,null,0.0000,99.7590,459888.99,9592,null,null,null,null,null
19,17,8,f,f,O,16.99913175650,131.75857496811,7.75050440989,SPN,50.0000,null,0.0000,0.0370,170.57,null,5/2+,-1.8935430000,-0.0256000000,0.0610,50.227
20,18,8,b,b,O,17.99915961286,139.80371388824,7.76687299379,SPN,50.0000,null,0.0000,0.2040,940.44,null,null,null,null,null,null
21,19,9,f,b,F,18.99840316273,147.79709644959,7.77879454998,SPN,50.0000,null,0.0000,100.0000,585,null,1/2+,2.6283210000,null,4730.0000,376.345
22,20,10,b,b,Ne,19.99244017620,160.64033816500,8.03201690825,SPN,50.0000,null,0.0000,90.9200,null,1548,null,null,null,null,null
23,21,10,f,f,Ne,20.99384668500,167.40127014932,7.97148905473,SPN,50.0000,null,0.0000,0.2570,null,null,3/2+,-0.6617000000,0.1020000000,null,null
24,22,10,b,b,Ne,21.99138511400,177.76529654911,8.08024075223,SPN,50.0000,null,0.0000,8.8200,null,208,null,null,null,null,null
25,23,11,f,b,Na,22.98976928200,186.55918845272,8.11126906316,SPN,50.0000,null,0.0000,100.0000,23600,33,3/2+,2.2175000000,0.1040000000,525.0000,105.808
26,24,12,b,b,Mg,23.98504169700,198.25166064327,8.26048586014,SPN,50.0000,null,0.0000,78.7000,18337.1,513,null,null,null,null,null
27,25,12,f,f,Mg,24.98583697600,205.58194972280,8.22327798891,SPN,50.0000,null,0.0000,10.1300,2360.29,69,5/2+,-0.8553300000,0.1990000000,null,null
28,26,12,b,b,Mg,25.98259296800,216.67481175445,8.33364660594,SPN,50.0000,null,0.0000,11.1700,2602.61,79,null,null,null,null,null
29,27,13,f,b,Al,26.98153853000,224.94576832817,8.33132475290,SPN,50.0000,null,0.0000,100.0000,82300,58,5/2+,3.6407000000,0.1466000000,1170.0000,104.227
30,28,14,b,b,Si,27.97692653465,236.53056941472,8.44752033624,SPN,50.0000,null,0.0000,92.2100,260032.2,653,null,null,null,null,null
31,29,14,f,f,Si,28.97649466490,245.00394060131,8.44841174487,SPN,50.0000,null,0.0000,4.7000,13254,34,1/2+,-0.5550520000,null,2.0900,79.468
32,30,14,b,b,Si,29.97377013600,255.61291079491,8.52043035983,SPN,50.0000,null,0.0000,3.0900,8713.8,23,null,null,null,null,null
33,31,15,f,b,P,30.97376199842,262.90924445619,8.48094336955,SPN,50.0000,null,0.0000,100.0000,1050,null,1/2+,1.1309250000,null,377.0000,161.923
34,32,16,b,b,S,31.97207117440,271.77299100150,8.49290596880,SPN,50.0000,null,0.0000,95.0000,332.5,396,null,null,null,null,null
35,33,16,f,f,S,32.97145890980,280.41439896867,8.49740602935,SPN,50.0000,null,0.0000,0.7600,2.66,null,3/2+,0.6432500000,-0.0678000000,null,null
36,34,16,b,b,S,33.96786700400,291.83132582967,8.58327428911,SPN,50.0000,null,0.0000,4.2200,14.77,null,null,null,null,null,null
37,35,17,f,b,Cl,34.96885268200,298.20192590959,8.52005502599,SPN,50.0000,null,0.0000,75.5300,109.5185,null,3/2+,0.8217000000,-0.8170000000,null,null
38,37,17,f,b,Cl,36.96590260200,317.09208263639,8.57005628747,SPN,50.0000,null,0.0000,24.4700,35.4815,null,3/2+,0.6840000000,-0.0644000000,null,null
39,36,18,b,b,Ar,35.96754510500,306.70868002741,8.51968555632,SPN,50.0000,null,0.0000,0.3370,null,77,null,null,null,null,null
40,38,18,b,b,Ar,37.96273211000,327.33413152061,8.61405609265,SPN,50.0000,null,0.0000,0.0630,null,null,null,null,null,null,null
41,40,18,b,b,Ar,39.96238312370,343.80138420481,8.59503460512,SPN,50.0000,null,0.0000,99.6000,null,null,null,null,null,null,null
42,39,19,f,b,K,38.96370648640,333.71525897689,8.55680151223,SPN,50.0000,null,0.0000,93.1000,19457.9,null,3/2+,0.3914700000,0.0585000000,null,null
43,40,19,b,f,K,39.96399816600,341.51464804390,8.53786620110,UPN,9.0969,b- or K or b+,1.5050,0.0118,2.4662,null,4-,-1.2979700000,-0.0730000000,null,null
44,41,19,f,b,K,40.96182525790,351.60978658803,8.57584845337,SPN,50.0000,null,0.0000,6.8800,1437.92,null,3/2+,0.2148720000,0.0711000000,null,null
45,40,20,b,b,Ca,39.96259086300,342.04320940400,8.55108023510,SPN,50.0000,null,0.0000,96.9700,40242.55,60,null,null,null,null,null
46,42,20,b,b,Ca,41.95861783000,361.88624105380,8.61633907271,SPN,50.0000,null,0.0000,0.6400,265.6,null,null,null,null,null,null
47,43,20,f,f,Ca,42.95876644000,369.81889864253,8.60043950331,SPN,50.0000,null,0.0000,0.1450,60.175,null,7/2-,-1.3173300000,-0.0408000000,null,null
48,44,20,b,b,Ca,43.95548156000,380.94983271058,8.65795074342,SPN,50.0000,null,0.0000,2.0600,854.9,null,null,null,null,null,null
49,46,20,b,b,Ca,45.95368900000,398.76176611640,8.66873404601,SPN,50.0000,null,0.0000,0.0033,1.3695,null,null,null,null,null,null
50,48,20,b,b,Ca,47.95252276000,415.99028599123,8.66646429148,UPN,19.3619,2 b-,4.2740,0.1800,74.7,null,null,null,null,null,null
51,45,21,f,b,Sc,44.95590828000,387.84109900019,8.61869108889,SPN,50.0000,null,0.0000,100.0000,22,null,7/2-,4.7540000000,-0.2200000000,1710.0000,97.167
52,46,22,b,b,Ti,45.95262772000,398.18567560272,8.65621033919,SPN,50.0000,null,0.0000,7.9300,444.08,null,null,null,null,null,null
53,47,22,f,f,Ti,46.95175879000,407.06616593561,8.66098225395,SPN,50.0000,null,0.0000,7.2800,407.68,null,5/2-,-0.7881400000,0.3020000000,null,null
54,48,22,b,b,Ti,47.94794198000,418.69258978450,8.72276228718,SPN,50.0000,null,0.0000,73.9400,4140.64,null,null,null,null,null,null
55,49,22,f,f,Ti,48.94786568000,426.83474976378,8.71091326049,SPN,50.0000,null,0.0000,5.5100,308.56,null,7/2-,-1.1037000000,0.2470000000,null,null
56,50,22,b,b,Ti,49.94478689000,437.77371216463,8.75547424329,SPN,50.0000,null,0.0000,5.3400,299.04,null,null,null,null,null,null
57,50,23,b,f,V,49.94715601000,434.78455689911,8.69569113798,UPN,17.1461,b+ or b-,2.2050,0.2400,0.288,null,6+,3.3442000000,0.2100000000,null,null
58,51,23,f,b,V,50.94395704000,445.83546628896,8.74187188802,SPN,50.0000,null,0.0000,99.7600,119.712,null,7/2-,5.1464000000,-0.0430000000,2160.0000,101.212
59,50,24,b,b,Cr,49.94604183000,435.04007584568,8.70080151691,SPN,50.0000,null,0.0000,4.3100,4.3962,null,null,null,null,null,null
60,52,24,b,b,Cr,51.94050623000,456.33862980178,8.77574288080,SPN,50.0000,null,0.0000,83.7600,85.4352,null,null,null,null,null,null
61,53,24,f,f,Cr,52.94064815000,464.27751908759,8.75995319033,SPN,50.0000,null,0.0000,9.5500,9.741,null,3/2-,-0.4743100000,-0.1500000000,null,null
62,54,24,b,b,Cr,53.93887916000,473.99641021034,8.77771130019,SPN,50.0000,null,0.0000,2.3800,2.4276,null,null,null,null,null,null
63,55,25,f,b,Mn,54.93804391000,482.06319440408,8.76478535280,SPN,50.0000,null,0.0000,100.0000,950,null,5/2-,3.4669000000,0.3300000000,994.0000,98.980
64,54,26,b,b,Fe,53.93960899000,471.75191088088,8.73614649779,SPN,50.0000,null,0.0000,5.8200,3276.66,72,null,null,null,null,null
65,56,26,b,b,Fe,55.93493633000,492.24664111678,8.79011859137,SPN,50.0000,null,0.0000,91.6600,51604.58,1169,null,null,null,null,null
66,57,26,f,f,Fe,56.93539284000,499.89249160021,8.77004371228,SPN,50.0000,null,0.0000,2.1900,1232.97,28,1/2-,0.0906400000,null,null,null
67,58,26,b,b,Fe,57.93327443000,509.93686547299,8.79201492195,SPN,50.0000,null,0.0000,0.3300,185.79,null,null,null,null,null,null
68,59,27,f,b,Co,58.93319429000,517.30026898051,8.76780116916,SPN,50.0000,null,0.0000,100.0000,25,null,7/2-,4.6150000000,0.4200000000,1570.0000,94.908
69,60,27,b,f,Co,59.93382220000,524.78646133516,8.74644102225,SYN,0.7219,"g, b-",1.3325,0.0000,0,null,5+,3.7990000000,0.4600000000,null,null
70,58,28,b,b,Ni,57.93534241000,506.44588700108,8.73182563795,SPN,50.0000,null,0.0000,67.8800,57.0192,49,null,null,null,null,null
71,60,28,b,b,Ni,59.93078588000,526.83244280003,8.78054071333,SPN,50.0000,null,0.0000,26.2300,22.0332,null,null,null,null,null,null
72,61,28,f,f,Ni,60.93105557000,534.65231505485,8.76479205008,SPN,50.0000,null,0.0000,1.1900,0.9996,null,3/2-,-0.7496500000,0.1620000000,null,null
73,62,28,b,b,Ni,61.92834537000,545.24793795928,8.79432157999,SPN,50.0000,null,0.0000,3.6600,3.0744,null,null,null,null,null,null
74,64,28,b,b,Ni,63.92796682000,561.74272906251,8.77723014160,SPN,50.0000,null,0.0000,1.0800,0.9072,null,null,null,null,null,null
75,63,29,f,b,Cu,62.92959772000,551.37013458228,8.75190689813,SPN,50.0000,null,0.0000,69.0900,41.454,null,3/2-,2.2259000000,-0.2200000000,365.0000,106.112
76,65,29,f,b,Cu,64.92778970000,569.19646889048,8.75686875216,SPN,50.0000,null,0.0000,30.9100,18.546,null,3/2-,2.3844000000,-0.2040000000,201.0000,113.669
77,64,30,b,b,Zn,63.92914201000,559.08337941665,8.73567780339,SPN,50.0000,null,0.0000,48.8900,34.223,null,null,null,null,null,null
78,66,30,b,b,Zn,65.92603381000,578.12082402746,8.75940642466,SPN,50.0000,null,0.0000,27.8100,19.467,null,null,null,null,null,null
79,67,30,f,f,Zn,66.92712775000,585.17291207785,8.73392406086,SPN,50.0000,null,0.0000,4.1100,2.877,null,5/2-,0.8748500000,0.1500000000,null,null
80,68,30,b,b,Zn,67.92484455000,595.37078690187,8.75545274856,SPN,50.0000,null,0.0000,18.5700,12.999,null,null,null,null,null,null
81,70,30,b,b,Zn,69.92531920000,611.07082703970,8.72958324342,SPN,50.0000,null,0.0000,0.6200,0.434,null,null,null,null,null,null
82,69,31,f,b,Ga,68.92557350000,601.98052765905,8.72435547332,SPN,50.0000,null,0.0000,60.4000,11.476,null,3/2-,2.0150200000,0.1710000000,237.0000,96.006
83,71,31,f,b,Ga,70.92470258000,618.93395862728,8.71737969898,SPN,50.0000,null,0.0000,39.6000,7.524,null,3/2-,2.5603300000,0.1070000000,319.0000,121.987
84,70,32,b,b,Ge,69.92424875000,610.50327832905,8.72147540470,SPN,50.0000,null,0.0000,20.5200,0.3078,null,null,null,null,null,null
85,72,32,b,b,Ge,71.92207582600,628.66951864558,8.73152109230,SPN,50.0000,null,0.0000,27.4300,0.41145,null,null,null,null,null,null
86,73,32,f,f,Ge,72.92345895600,635.45222784963,8.70482503904,SPN,50.0000,null,0.0000,7.7600,0.1164,null,9/2+,-0.8782400000,-0.1960000000,null,null
87,74,32,b,b,Ge,73.92117776100,645.64823502750,8.72497614902,SPN,50.0000,null,0.0000,36.5400,0.5481,null,null,null,null,null,null
88,76,32,b,b,Ge,75.92140272600,661.58085532802,8.70501125432,UPN,21.2553,2 b-,2.0390,7.6700,0.11505,null,null,null,null,null,null
89,75,33,f,b,As,74.92159457000,652.54873335746,8.70064977810,SPN,50.0000,null,0.0000,100.0000,1.8,null,3/2-,1.4383000000,0.3140000000,143.0000,68.491
90,74,34,b,b,Se,73.92247593400,642.87432741403,8.68749091100,SPN,50.0000,null,0.0000,0.8700,0.000435,null,null,null,null,null,null
